
SENDERID,RECIPIENT_ID,MESSAGE_TYPE,VERSION_NUMBER,MESSAGE_REFERENCE,TIME_STAMP,SUBMISSION_TYPE,DATARETRIEVAL_DATE,TRUSTEE_APPROVAL_NUMBER,GENERALPARTICULARS_REMARKS,MPFAREFNO,PARTICIPATIONNO,DEFAULTERNAME_EN,DEFAULTERNAME_CH,DEFAULTERCONTACTPERSON_EN,DEFAULTERCONTACTPERSON_CH,AUTHORIZEDPERSON,PHONENOREGIONALCODE,PHONENOAREACODE,PHONENO,FAXNOREGIONALCODE,FAXNOAREACODE,FAXNO,ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS4,ADDRESS5,EMAIL,SCHEMEREGISTRATIONNO,SUBSCHEMENUMBER,SUBSCHEMESERVICEOFFICERNAME,SUBSCHEMESERVICEOFFICERPHONE,INDUSTRYTYPE,UNTRACEABLEDEFAULTER,CHANGEOFDEFAULTERNAME,ORIGINALDEFAULTERNAME_EN,ORIGINALDEFAULTERNAME_CH,NOOFENROLLEDMEMBERS,SCHEMEEFFECTIVEDATE,SCHEMETERMINATIONDATE,REMARKS,HKIDNUMBER,CHECKDIGIT,LASTNAME_EN,FIRSTNAME_EN,LASTNAME_CH,FIRSTNAME_CH,DATEOFBIRTH,MOBILENO,PHONENO,MEM_ADDRESS1,MEM_ADDRESS2,MEM_ADDRESS3,MEM_ADDRESS4,MEM_ADDRESS5,NATUREOFEMPLOYMENT,EMPLOYMENTSTARTDATE,LASTEMPLOYMENTDATE,INTRAGROUPTRANSFER,LATEENROLLEDMEMBER,ENROLLMENTPROCESSINGDATE,MEM_REMARKS,PERIODSTARTDATE,PERIODENDDATE,RELEVANTINCOME,RELEVANTINCOMEREF,ONTIMEMCPAID_ERSEP_AMOUNT,ONTIMEMCPAID_EE_AMOUNT,ONTIMEMCPAIDDATE,LATEMCPAID_ERSEP_AMOUNT,LATEMCPAID_EE_AMOUNT,LATEMCPAIDDATE,SURCHARGEPAID_ERSEP_AMOUNT,SURCHARGEPAID_EE_AMOUNT,SURCHARGEPAIDDATE,FREQUENCY,DCREASON,ISUNIQUEREFNO,ISNODAYS,ISDATERANGEFROM,ISDATERANGETO,CONTRI_REMARKS
DEX,MPFA,OSDC,3.1,DEXSK2000041,20180418000000,NEWD,2018-04-18,TC00138,,,BR7680132332,NTXELD AXEXPFOU,PHNNQAM,TXEOQGKRVCBKH , ,,,,20000000,,,20000000,AVGKATQQQ,RCJMZGBDTSHPXAG,KJC,,,UTN@BESTSERVE.COM,ES00020,8728,,,99,N,,,,4215,2006-10-19,,8728,J458202,8,ZEX,CD FAL,IM,E,1972-08-18,90000000,,HKLMOJERX,NAJCHVNVBPDRCY,FZMRJOPVCUJYSD,EFCKUZMMKLSKZNYM,,REGEE,2007-05-21,,N,N,2007-08-29,,2018-03-01,2018-03-31,56925.60,,0.00,0.00,,0.00,0.00,,0.00,0.00,,CDMTH,NOPAY,,,,,
DEX,MPFA,OSDC,3.1,DEXSK2000041,20180418000000,NEWD,2018-04-18,TC00138,,,BR7680132332,NTXELD AXEXPFOU,PHNNQAM,TXEOQGKRVCBKH , ,,,,20000000,,,20000000,AVGKATQQQ,RCJMZGBDTSHPXAG,KJC,,,UTN@BESTSERVE.COM,ES00020,8728,,,99,N,,,,4215,2006-10-19,,8728,W595352,1,MJAN,FMAZ BMJAX BXJUAR,UQ,K,1984-01-25,60000000,,FJIRCIUNIPSEJAFPGWU,PJGWRIHZZXBIKF,VBWXPSCOSXDQBUBT,ITKHXIKARAJTZTK,,REGEE,2006-11-15,,Y,N,2007-01-23,,2018-03-01,2018-03-31,26824.60,,0.00,0.00,,0.00,0.00,,0.00,0.00,,CDMTH,NOPAY,,,,,
DEX,MPFA,OSDC,3.1,DEXSK2000041,20180418000000,NEWD,2018-04-18,TC00138,,,BR7680132332,NTXELD AXEXPFOU,PHNNQAM,TXEOQGKRVCBKH , ,,,,20000000,,,20000000,AVGKATQQQ,RCJMZGBDTSHPXAG,KJC,,,UTN@BESTSERVE.COM,ES00020,8728,,,99,N,,,,4215,2006-10-19,,8728,Y380240,8,MJZFBA,XD ZXWBA,,,1980-12-31,,,UNKNOWN,,,,,REGEE,2017-12-06,,N,N,,,2018-03-01,2018-03-31,18942.79,,0.00,0.00,,0.00,0.00,,0.00,0.00,,CDMTH,NOPAY,,,,,
DEX,MPFA,OSDC,3.1,DEXSK2000041,20180418000000,NEWD,2018-04-18,TC00138,,,BR7680132332,NTXELD AXEXPFOU,PHNNQAM,TXEOQGKRVCBKH , ,,,,20000000,,,20000000,AVGKATQQQ,RCJMZGBDTSHPXAG,KJC,,,UTN@BESTSERVE.COM,ES00020,8728,,,99,N,,,,4215,2006-10-19,,8728,Y380240,8,MJZFBA,XD ZXWBA,,,1980-12-31,,,UNKNOWN,,,,,REGEE,2017-12-06,,N,N,,,2018-02-01,2018-02-28,,NA,0.00,0.00,,0.00,0.00,,0.00,0.00,,CDMTH,NOPAY,,,,,
DEX,MPFA,OSDC,3.1,DEXSK2000041,20180418000000,NEWD,2018-04-18,TC00138,,,BR7680132332,NTXELD AXEXPFOU,PHNNQAM,TXEOQGKRVCBKH , ,,,,20000000,,,20000000,AVGKATQQQ,RCJMZGBDTSHPXAG,KJC,,,UTN@BESTSERVE.COM,ES00020,8728,,,99,N,,,,4215,2006-10-19,,8728,I323729,4,MCANB,ZMRXZ,,,1980-12-31,,,UNKNOWN,,,,,REGEE,2018-01-18,,N,N,,,2018-03-01,2018-03-31,12623.63,,0.00,0.00,,0.00,0.00,,0.00,0.00,,CDMTH,NOPAY,,,,,
DEX,MPFA,OSDC,3.1,DEXSK2000041,20180418000000,NEWD,2018-04-18,TC00138,,,BR7680132332,NTXELD AXEXPFOU,PHNNQAM,TXEOQGKRVCBKH , ,,,,20000000,,,20000000,AVGKATQQQ,RCJMZGBDTSHPXAG,KJC,,,UTN@BESTSERVE.COM,ES00020,8728,,,99,N,,,,4215,2006-10-19,,8728,I323729,4,MCANB,ZMRXZ,,,1980-12-31,,,UNKNOWN,,,,,REGEE,2018-01-18,,N,N,,,2018-01-01,2018-01-31,,NA,0.00,0.00,,0.00,0.00,,0.00,0.00,,CDMTH,NOPAY,,,,,
DEX,MPFA,OSDC,3.1,DEXSK2000041,20180418000000,NEWD,2018-04-18,TC00138,,,BR7680132332,NTXELD AXEXPFOU,PHNNQAM,TXEOQGKRVCBKH , ,,,,20000000,,,20000000,AVGKATQQQ,RCJMZGBDTSHPXAG,KJC,,,UTN@BESTSERVE.COM,ES00020,8728,,,99,N,,,,4215,2006-10-19,,8728,I323729,4,MCANB,ZMRXZ,,,1980-12-31,,,UNKNOWN,,,,,REGEE,2018-01-18,,N,N,,,2018-02-01,2018-02-28,,NA,0.00,0.00,,0.00,0.00,,0.00,0.00,,CDMTH,NOPAY,,,,,
DEX,MPFA,OSDC,3.1,DEXSK2000041,20180418000000,NEWD,2018-04-18,TC00138,,,BR7680132332,NTXELD AXEXPFOU,PHNNQAM,TXEOQGKRVCBKH , ,,,,20000000,,,20000000,AVGKATQQQ,RCJMZGBDTSHPXAG,KJC,,,UTN@BESTSERVE.COM,ES00020,8728,,,99,N,,,,4215,2006-10-19,,8728,Z412060,5,LVBA,DO CNMBA,TA,I,1981-07-30,60000000,,RVTUKC,UEHVTXEVIP,MBOPVSGVOEVH,KPUCYMDRMQZ,,REGEE,2008-02-25,,N,N,2008-05-06,,2018-03-01,2018-03-31,24538.20,,0.00,0.00,,0.00,0.00,,0.00,0.00,,CDMTH,NOPAY,,,,,
DEX,MPFA,OSDC,3.1,DEXSK2000041,20180418000000,NEWD,2018-04-18,TC00138,,,BR7680132332,NTXELD AXEXPFOU,PHNNQAM,TXEOQGKRVCBKH , ,,,,20000000,,,20000000,AVGKATQQQ,RCJMZGBDTSHPXAG,KJC,,,UTN@BESTSERVE.COM,ES00020,8728,,,99,N,,,,4215,2006-10-19,,8728,Q720047,8,MJAN,MJ XXWBA,ZR,B,1977-11-04,90000000,,ALMIDHHSYL,ILJFDQKRRYP,IAALQXKDWPSI,KUMXKHHYO,,REGEE,2007-12-01,,N,N,2008-03-04,,2018-03-01,2018-03-31,26190.20,,0.00,0.00,,0.00,0.00,,0.00,0.00,,CDMTH,NOPAY,,,,,
DEX,MPFA,OSDC,3.1,DEXSK2000041,20180418000000,NEWD,2018-04-18,TC00138,,,BR7680132332,NTXELD AXEXPFOU,PHNNQAM,TXEOQGKRVCBKH , ,,,,20000000,,,20000000,AVGKATQQQ,RCJMZGBDTSHPXAG,KJC,,,UTN@BESTSERVE.COM,ES00020,8728,,,99,N,,,,4215,2006-10-19,,8728,O026737,7,LT,MDAX BLET,FC,C,1979-11-03,90000000,,RUKGK,SIJADGM,,,,REGEE,2006-11-20,,Y,N,2007-01-23,,2018-03-01,2018-03-31,24514.20,,0.00,0.00,,0.00,0.00,,0.00,0.00,,CDMTH,NOPAY,,,,,
